"","recoded_id","dob","birth_year","genetic_group","feed_group","amp_305_lactation","cull_date","cull_reason","herd_life","sample_date","rltl","tel_sample_no","residual_rltl_t","residual_rltl_tminus1","diff_rltl_res","sample_interval","change_at_t_1","abs_diff_rlrl_res","age_d","age_m","age_y","live_wgt","cond_score","health_event_2week","health_event_fertil_all","health_event_mastitis_all","health_event_lame_all"
"1",3926,"18/09/2008",2008,"C","1","9446.75","15/04/2016","NOT SERVED - POLICY","2766","25/09/2008",1.288303424,1,0.195296628,"NULL","NULL","NULL","NULL","NULL",7,0,0,"NULL","2.25",0,"NULL","NULL","NULL"
"2",3926,"18/09/2008",2008,"C","1","9446.75","15/04/2016","NOT SERVED - POLICY","2766","16/03/2010",1.284008824,2,0.075074996,"0.195296628","-0.120221632","537","NULL","0.120221632",544,18,1,"NULL","2.25",0,"NULL","NULL","NULL"
"3",3926,"18/09/2008",2008,"C","1","9446.75","15/04/2016","NOT SERVED - POLICY","2766","02/03/2011",0.882375988,3,-0.19156563,"0.075074996","-0.266640626","351","-0.120221632","0.266640626",895,29,2,"NULL","2.25",0,"NULL","NULL","NULL"
"4",3926,"18/09/2008",2008,"C","1","9446.75","15/04/2016","NOT SERVED - POLICY","2766","16/02/2012",0.924597235,4,-0.057332313,"-0.19156563","0.134233317","351","-0.266640626","0.134233317",1246,41,3,"NULL","1.75",0,"NULL","NULL","NULL"
"5",3926,"18/09/2008",2008,"C","1","9446.75","15/04/2016","NOT SERVED - POLICY","2766","25/02/2013",1.089028225,5,-0.017078789,"-0.057332313","0.040253524","375","0.134233317","0.040253524",1621,53,4,"NULL","2",0,"NULL","NULL","NULL"
"6",3926,"18/09/2008",2008,"C","1","9446.75","15/04/2016","NOT SERVED - POLICY","2766","12/05/2014",1.076288168,6,0.055947112,"-0.017078789","0.073025902","441","0.040253524","0.073025902",2062,68,6,"NULL","2.25",0,"NULL","NULL","NULL"
"7",7626,"15/10/2008",2008,"C","1","6024.016667","14/10/2013","MASTITIS","1825","20/10/2008",0.977479729,1,-0.071944873,"NULL","NULL","NULL","NULL","NULL",5,0,0,"NULL","2.5",0,"7","2","2"
"8",7626,"15/10/2008",2008,"C","1","6024.016667","14/10/2013","MASTITIS","1825","16/03/2010",0.90012553,2,-0.141760873,"-0.071944873","-0.069816","512","NULL","0.069816",517,17,1,"NULL","2.5",0,"7","2","2"
"9",7626,"15/10/2008",2008,"C","1","6024.016667","14/10/2013","MASTITIS","1825","02/03/2011",0.892566496,3,-0.12094197,"-0.141760873","0.020818903","351","-0.069816","0.020818903",868,28,2,"NULL","2",1,"7","2","2"
"10",7626,"15/10/2008",2008,"C","1","6024.016667","14/10/2013","MASTITIS","1825","16/02/2012",0.845867813,4,-0.208551255,"-0.12094197","-0.087609285","351","0.020818903","0.087609285",1219,40,3,"NULL","2.25",0,"7","2","2"
"11",7626,"15/10/2008",2008,"C","1","6024.016667","14/10/2013","MASTITIS","1825","15/04/2013",0.976698003,5,-0.048597885,"-0.208551255","0.15995337","424","-0.087609285","0.15995337",1643,54,5,"NULL","3",0,"7","2","2"
"12",7626,"15/10/2008",2008,"C","1","6024.016667","14/10/2013","MASTITIS","1825","14/10/2013",0.940560974,6,-0.198594216,"-0.048597885","-0.14999633","182","0.15995337","0.14999633",1825,60,5,"NULL","2",0,"7","2","2"
"13",1150,"27/10/2008",2008,"C","2","3894.966667","04/04/2013","UNKNOWN","1620","03/11/2008",0.966846357,1,-0.066365222,"NULL","NULL","NULL","NULL","NULL",7,0,0,"NULL","2.25",0,"6","1","1"
"14",1150,"27/10/2008",2008,"C","2","3894.966667","04/04/2013","UNKNOWN","1620","15/03/2011",0.854159454,3,-0.219707058,"-0.066365222","-0.153341836","862","NULL","0.153341836",869,28,2,"NULL","2",0,"6","1","1"
"15",1150,"27/10/2008",2008,"C","2","3894.966667","04/04/2013","UNKNOWN","1620","21/02/2012",0.89314526,4,-0.168382231,"-0.219707058","0.051324827","343","-0.153341836","0.051324827",1212,40,3,"NULL","3",1,"6","1","1"
"16",1150,"27/10/2008",2008,"C","2","3894.966667","04/04/2013","UNKNOWN","1620","21/02/2013",1.007860005,5,-0.066081613,"-0.168382231","0.102300618","366","0.051324827","0.102300618",1578,52,4,"NULL","2.5",0,"6","1","1"
"17",906,"07/11/2008",2008,"C","1","4277","30/01/2015","NULL","2275","11/11/2008",0.979519952,1,-0.107194774,"NULL","NULL","NULL","NULL","NULL",4,0,0,"NULL","2.25",0,"5","0","0"
"18",906,"07/11/2008",2008,"C","1","4277","30/01/2015","NULL","2275","16/03/2010",1.035186083,2,-0.152831597,"-0.107194774","-0.045636823","490","NULL","0.045636823",494,16,1,"NULL","2.25",0,"5","0","0"
"19",906,"07/11/2008",2008,"C","1","4277","30/01/2015","NULL","2275","09/03/2011",0.871940514,3,-0.227887728,"-0.152831597","-0.075056131","358","-0.045636823","0.075056131",852,28,2,"NULL","2.25",0,"5","0","0"
"20",906,"07/11/2008",2008,"C","1","4277","30/01/2015","NULL","2275","17/02/2012",0.901334242,4,-0.151202959,"-0.227887728","0.076684769","345","-0.075056131","0.076684769",1197,39,3,"NULL","3.25",0,"5","0","0"
"21",906,"07/11/2008",2008,"C","1","4277","30/01/2015","NULL","2275","11/03/2013",1.028154569,5,-0.085354439,"-0.151202959","0.06584852","388","0.076684769","0.06584852",1585,52,4,"NULL","2.25",0,"5","0","0"
"22",906,"07/11/2008",2008,"C","1","4277","30/01/2015","NULL","2275","06/06/2014",1.116586957,6,-0.05486389,"-0.085354439","0.030490549","452","0.06584852","0.030490549",2037,67,6,"NULL","2.25",0,"5","0","0"
"23",4957,"13/12/2008",2008,"C","NULL","753.4","05/02/2013","OTHER/SURPLUS","1515","16/12/2008",1.022809374,1,-0.022725734,"NULL","NULL","NULL","NULL","NULL",3,0,0,"NULL","NULL",0,"NULL","NULL","NULL"
"24",4957,"13/12/2008",2008,"C","NULL","753.4","05/02/2013","OTHER/SURPLUS","1515","16/03/2010",1.061003759,2,-0.075440568,"-0.022725734","-0.052714834","455","NULL","0.052714834",458,15,1,"NULL","NULL",0,"NULL","NULL","NULL"
"25",4957,"13/12/2008",2008,"C","NULL","753.4","05/02/2013","OTHER/SURPLUS","1515","28/02/2011",0.978116482,3,-0.065405353,"-0.075440568","0.010035215","349","-0.052714834","0.010035215",807,26,2,"NULL","NULL",0,"NULL","NULL","NULL"
"26",4957,"13/12/2008",2008,"C","NULL","753.4","05/02/2013","OTHER/SURPLUS","1515","27/02/2012",1.039600276,4,-0.036106324,"-0.065405353","0.029299029","364","0.010035215","0.029299029",1171,38,3,"NULL","NULL",0,"NULL","NULL","NULL"
"27",7544,"26/12/2008",2008,"C","2","274.3","09/06/2011","POOR YIELD/NO MILK","895","09/01/2009",1.261980804,1,0.090529957,"NULL","NULL","NULL","NULL","NULL",14,0,0,"NULL","2.5",0,"0","1","0"
"28",7544,"26/12/2008",2008,"C","2","274.3","09/06/2011","POOR YIELD/NO MILK","895","16/03/2010",1.082290667,2,0.085935541,"0.090529957","-0.004594415","431","NULL","0.004594415",445,15,1,"NULL","2.5",0,"0","1","0"
"29",7544,"26/12/2008",2008,"C","2","274.3","09/06/2011","POOR YIELD/NO MILK","895","12/04/2011",1.156889869,3,0.127493242,"0.085935541","0.041557701","392","-0.004594415","0.041557701",837,27,2,"NULL","2.5",0,"0","1","0"
"30",309,"12/02/2009",2009,"C","1","9631.6125","05/11/2015","FOOT/LEG PROBLEMS","2457","20/02/2009",1.311376074,1,0.195118958,"NULL","NULL","NULL","NULL","NULL",8,0,0,"NULL","2.75",0,"6","3","3"
"31",309,"12/02/2009",2009,"C","1","9631.6125","05/11/2015","FOOT/LEG PROBLEMS","2457","16/03/2010",1.016333826,2,-0.064621613,"0.195118958","-0.259740571","389","NULL","0.259740571",397,13,1,"NULL","2.75",0,"6","3","3"
"32",309,"12/02/2009",2009,"C","1","9631.6125","05/11/2015","FOOT/LEG PROBLEMS","2457","09/03/2011",0.983369232,3,-0.056900091,"-0.064621613","0.007721522","358","-0.259740571","0.007721522",755,25,2,"NULL","2",0,"6","3","3"
"33",309,"12/02/2009",2009,"C","1","9631.6125","05/11/2015","FOOT/LEG PROBLEMS","2457","17/02/2012",1.091380156,4,-0.08917823,"-0.056900091","-0.032278139","345","0.007721522","0.032278139",1100,36,3,"NULL","1.75",0,"6","3","3"
"34",309,"12/02/2009",2009,"C","1","9631.6125","05/11/2015","FOOT/LEG PROBLEMS","2457","27/02/2013",1.09201369,5,0.04735905,"-0.08917823","0.13653728","376","-0.032278139","0.13653728",1476,48,4,"NULL","1.75",0,"6","3","3"
"35",309,"12/02/2009",2009,"C","1","9631.6125","05/11/2015","FOOT/LEG PROBLEMS","2457","15/05/2014",1.085107834,6,-0.019726351,"0.04735905","-0.067085401","442","0.13653728","0.067085401",1918,63,5,"NULL","2",0,"6","3","3"
"36",124,"16/02/2009",2009,"S","2","5846.916667","17/07/2014","BRUCELLOSIS/ABORTED","1977","20/02/2009",1.171616704,1,0.167802284,"NULL","NULL","NULL","NULL","NULL",4,0,0,"NULL","2.75",0,"3","0","0"
"37",124,"16/02/2009",2009,"S","2","5846.916667","17/07/2014","BRUCELLOSIS/ABORTED","1977","16/03/2010",1.161531675,2,-0.066053396,"0.167802284","-0.23385568","389","NULL","0.23385568",393,13,1,"NULL","2.75",0,"3","0","0"
"38",124,"16/02/2009",2009,"S","2","5846.916667","17/07/2014","BRUCELLOSIS/ABORTED","1977","05/07/2011",1.056163937,3,0.097518248,"-0.066053396","0.163571644","476","-0.23385568","0.163571644",869,28,2,"487","NULL",0,"3","0","0"
"39",124,"16/02/2009",2009,"S","2","5846.916667","17/07/2014","BRUCELLOSIS/ABORTED","1977","20/02/2012",1.421473972,4,0.215830105,"0.097518248","0.118311857","230","0.163571644","0.118311857",1099,36,3,"NULL","3.25",0,"3","0","0"
"40",124,"16/02/2009",2009,"S","2","5846.916667","17/07/2014","BRUCELLOSIS/ABORTED","1977","21/02/2013",1.224258197,5,0.116043049,"0.215830105","-0.099787056","367","0.118311857","0.099787056",1466,48,4,"NULL","2.5",0,"3","0","0"
"41",3007,"21/03/2009",2009,"S","2","7352.5","23/02/2012","ACCIDENT","1069","02/04/2009",0.990482222,1,-0.001480801,"NULL","NULL","NULL","NULL","NULL",12,0,0,"NULL","2.5",0,"3","0","1"
"42",3007,"21/03/2009",2009,"S","2","7352.5","23/02/2012","ACCIDENT","1069","16/03/2010",1.17994623,2,0.093088024,"-0.001480801","0.094568826","348","NULL","0.094568826",360,12,1,"NULL","2.5",0,"3","0","1"
"43",3007,"21/03/2009",2009,"S","2","7352.5","23/02/2012","ACCIDENT","1069","25/03/2011",1.303694052,3,0.273583928,"0.093088024","0.180495904","374","0.094568826","0.180495904",734,24,2,"NULL","2.25",1,"3","0","1"
"44",3007,"21/03/2009",2009,"S","2","7352.5","23/02/2012","ACCIDENT","1069","20/02/2012",0.8157655,4,-0.261848634,"0.273583928","-0.535432562","332","0.180495904","0.535432562",1066,35,3,"NULL","2.25",0,"3","0","1"
"45",6431,"27/05/2009",2009,"C","NULL","56.1","16/01/2015","NULL","2060","01/06/2009",1.134757836,1,0.096484839,"NULL","NULL","NULL","NULL","NULL",5,0,0,"NULL","NULL",0,"1","0","0"
"46",6431,"27/05/2009",2009,"C","NULL","56.1","16/01/2015","NULL","2060","16/03/2010",1.174238461,2,0.091669494,"0.096484839","-0.004815345","288","NULL","0.004815345",293,10,1,"NULL","NULL",0,"1","0","0"
"47",6431,"27/05/2009",2009,"C","NULL","56.1","16/01/2015","NULL","2060","28/03/2011",0.949652666,3,-0.073624868,"0.091669494","-0.165294363","377","-0.004815345","0.165294363",670,22,2,"NULL","NULL",0,"1","0","0"
"48",6431,"27/05/2009",2009,"C","NULL","56.1","16/01/2015","NULL","2060","27/02/2012",0.9928157,4,-0.05812637,"-0.073624868","0.015498499","336","-0.165294363","0.015498499",1006,33,3,"NULL","NULL",0,"1","0","0"
"49",6431,"27/05/2009",2009,"C","NULL","56.1","16/01/2015","NULL","2060","11/03/2013",1.060367619,5,0.002052342,"-0.05812637","0.060178711","378","0.015498499","0.060178711",1384,45,4,"NULL","NULL",0,"1","0","0"
"50",6431,"27/05/2009",2009,"C","NULL","56.1","16/01/2015","NULL","2060","06/06/2014",1.373285147,6,0.306802823,"0.002052342","0.304750481","452","0.060178711","0.304750481",1836,60,5,"NULL","NULL",0,"1","0","0"
"51",9746,"27/05/2009",2009,"C","NULL","4434.025","16/01/2015","NULL","2060","01/06/2009",1.433448268,1,0.23365459,"NULL","NULL","NULL","NULL","NULL",5,0,0,"468","NULL",0,"5","0","1"
"52",9746,"27/05/2009",2009,"C","NULL","4434.025","16/01/2015","NULL","2060","16/03/2010",0.955704899,2,-0.109561895,"0.23365459","-0.343216485","288","NULL","0.343216485",293,10,1,"468","NULL",0,"5","0","1"
"53",9746,"27/05/2009",2009,"C","NULL","4434.025","16/01/2015","NULL","2060","28/03/2011",0.835970879,3,-0.263715773,"-0.109561895","-0.154153878","377","-0.343216485","0.154153878",670,22,2,"468","NULL",0,"5","0","1"
"54",9746,"27/05/2009",2009,"C","NULL","4434.025","16/01/2015","NULL","2060","16/02/2012",0.90536145,4,-0.177179886,"-0.263715773","0.086535888","325","-0.154153878","0.086535888",995,33,3,"497","NULL",0,"5","0","1"
"55",9746,"27/05/2009",2009,"C","NULL","4434.025","16/01/2015","NULL","2060","11/03/2013",0.919470138,5,-0.162410793,"-0.177179886","0.014769093","389","0.086535888","0.014769093",1384,45,4,"497","NULL",0,"5","0","1"
"56",9746,"27/05/2009",2009,"C","NULL","4434.025","16/01/2015","NULL","2060","20/08/2014",1.064462986,6,0.073378159,"-0.162410793","0.235788952","527","0.014769093","0.235788952",1911,63,5,"497","NULL",0,"5","0","1"
