,recoded_id,X,dob,birth_year,genetic_group,feed_group,amp_305_lactation,cull_date,cull_reason,cull_category,herd_life,sample_date,rltl,tel_sample_no,residual_rltl_t,residual_rltl_tminus1,diff_rltl_res,sample_interval,change_at_t_1,abs_diff_rltl_res,age_d,age_m,age_y,live_wgt,cond_score,health_event_2week,health_event_fertil_all,health_event_mastitis_all,health_event_lame_all,sample_year,average_resid,rltl_change,abs_rltl_change,AgeGroup,av_rltl_1_res,SamplesPerAnimal,Animal_No,atrr_rate_per_year
129,10953,139,06/12/2010,2010,C,1,8612.35,04/11/2014,REPEAT BREEDER,Fertility & Reproduction,1429,10/12/2010,1.006144032,1,-0.076424935,NULL,NULL,NULL,NULL,NULL,4,0,0,NULL,1.75,0,3,0,1,2010,-0.010427401,0.018608002,0.134583907,young,0.114640059,4,305,NULL
130,10953,140,06/12/2010,2010,C,1,8612.35,04/11/2014,REPEAT BREEDER,Fertility & Reproduction,1429,23/03/2012,1.183725697,2,0.114640059,-0.076424935,0.191064994,469,NULL,0.191064994,473,16,1,NULL,1.75,0,3,0,1,2012,-0.010427401,0.018608002,0.134583907,older,0.114640059,4,305,0.148696637
131,10953,141,06/12/2010,2010,C,1,8612.35,04/11/2014,REPEAT BREEDER,Fertility & Reproduction,1429,27/02/2013,1.033682998,3,-0.059323798,0.114640059,-0.173963857,341,0.191064994,0.173963857,814,27,2,NULL,2,0,3,0,1,2013,-0.010427401,0.018608002,0.134583907,older,0.114640059,4,305,-0.186207648
132,10953,142,06/12/2010,2010,C,1,8612.35,04/11/2014,REPEAT BREEDER,Fertility & Reproduction,1429,15/05/2014,0.99838333,4,-0.020600929,-0.059323798,0.038722869,442,-0.173963857,0.038722869,1256,41,3,NULL,2.5,0,3,0,1,2014,-0.010427401,0.018608002,0.134583907,older,0.114640059,4,305,0.03197703
123,10952,847,07/08/2009,2009,C,2,6961.1,17/08/2016,MASTITIS,Mastitis,2567,19/08/2009,1.116154842,1,0.074769247,NULL,NULL,NULL,NULL,NULL,12,0,0,521,NULL,0,NULL,NULL,NULL,2009,0.088008453,-0.018529209,0.112650968,young,0.124018973,6,304,NULL
124,10952,848,07/08/2009,2009,C,2,6961.1,17/08/2016,MASTITIS,Mastitis,2567,16/03/2010,1.147296507,2,0.124018973,0.074769247,0.049249726,209,NULL,0.049249726,221,7,1,521,NULL,0,NULL,NULL,NULL,2010,0.088008453,-0.018529209,0.112650968,young,0.124018973,6,304,0.086010287
125,10952,849,07/08/2009,2009,C,2,6961.1,17/08/2016,MASTITIS,Mastitis,2567,28/03/2011,1.072948432,3,0.052298011,0.124018973,-0.071720962,377,0.049249726,0.071720962,598,20,2,521,NULL,0,NULL,NULL,NULL,2011,0.088008453,-0.018529209,0.112650968,older,0.124018973,6,304,-0.069438067
126,10952,850,07/08/2009,2009,C,2,6961.1,17/08/2016,MASTITIS,Mastitis,2567,22/02/2012,1.139381586,4,0.056488605,0.052298011,0.004190595,331,-0.071720962,0.004190595,929,30,3,NULL,2,0,NULL,NULL,NULL,2012,0.088008453,-0.018529209,0.112650968,older,0.124018973,6,304,0.004621049
127,10952,851,07/08/2009,2009,C,2,6961.1,17/08/2016,MASTITIS,Mastitis,2567,22/02/2013,1.242103128,5,0.238352682,0.056488605,0.181864077,366,0.004190595,0.181864077,1295,42,4,NULL,1.75,0,NULL,NULL,NULL,2013,0.088008453,-0.018529209,0.112650968,older,0.124018973,6,304,0.181367181
128,10952,852,07/08/2009,2009,C,2,6961.1,17/08/2016,MASTITIS,Mastitis,2567,14/05/2014,1.068837928,6,-0.017876798,0.238352682,-0.25622948,446,0.181864077,0.25622948,1741,57,5,NULL,2.5,0,NULL,NULL,NULL,2014,0.088008453,-0.018529209,0.112650968,older,0.124018973,6,304,-0.20969453
