"","recoded_id","dob","birth_year","genetic_group","feed_group","cull_date","cull_reason","herd_life","sample_date","rltl","tel_sample_no","residual_rltl_t","residual_rltl_tminus1","diff_rltl_res","sample_interval","change_at_t_1","abs_diff_rlrl_res","age_d","age_m","age_y","live_wgt","cond_score","health_event_2week","health_event_fertil_all","health_event_mastitis_all","health_event_lame_all"
"1",6951,"02/04/2010",2010,"C",1,"01/05/2015","MASTITIS","1855","05/04/2010",1.071915349,1,0.028393514,"NULL","NULL","NULL","NULL","NULL",3,0,0,"NULL",2.25,0,"4","2","6"
"2",6951,"02/04/2010",2010,"C",1,"01/05/2015","MASTITIS","1855","08/04/2010",1.266363268,2,0.186507155,"0.028393514","0.158113641","3","NULL","0.158113641",6,0,0,"NULL",2.25,0,"4","2","6"
"3",6951,"02/04/2010",2010,"C",1,"01/05/2015","MASTITIS","1855","19/05/2010",1.067124523,3,0.063310103,"0.186507155","-0.123197052","41","0.158113641","0.123197052",47,2,0,"NULL",2.25,0,"4","2","6"
"4",6951,"02/04/2010",2010,"C",1,"01/05/2015","MASTITIS","1855","14/04/2011",1.172358386,4,-0.027435292,"0.063310103","-0.090745395","330","-0.123197052","0.090745395",377,12,1,"NULL",2.25,0,"4","2","6"
"5",6951,"02/04/2010",2010,"C",1,"01/05/2015","MASTITIS","1855","29/02/2012",1.350689276,5,0.133080624,"-0.027435292","0.160515916","321","-0.090745395","0.160515916",698,23,2,"NULL",2.25,0,"4","2","6"
"6",6951,"02/04/2010",2010,"C",1,"01/05/2015","MASTITIS","1855","27/02/2013",1.221226684,6,0.119505098,"0.133080624","-0.013575526","364","0.160515916","0.013575526",1062,35,3,"NULL",2.25,1,"4","2","6"
"7",6951,"02/04/2010",2010,"C",1,"01/05/2015","MASTITIS","1855","28/05/2014",0.910457153,7,-0.136070702,"0.119505098","-0.2555758","455","-0.013575526","0.2555758",1517,50,4,"NULL",3,0,"4","2","6"
"8",2269,"29/10/2008",2008,"C",2,"22/07/2016","FOOT/LEG PROBLEMS","2823","03/11/2008",1.342424993,1,0.129771174,"NULL","NULL","NULL","NULL","NULL",5,0,0,"NULL",2,0,"NULL","NULL","NULL"
"9",2269,"29/10/2008",2008,"C",2,"22/07/2016","FOOT/LEG PROBLEMS","2823","16/03/2010",1.266952941,2,0.210695749,"0.129771174","0.080924575","498","NULL","0.080924575",503,16,1,"NULL",2,0,"NULL","NULL","NULL"
"10",2269,"29/10/2008",2008,"C",2,"22/07/2016","FOOT/LEG PROBLEMS","2823","26/10/2010",1.142219044,3,0.115828911,"0.210695749","-0.094866838","224","0.080924575","0.094866838",727,24,2,"NULL",2.25,0,"NULL","NULL","NULL"
