"","recoded_id","dob","herd_life","cull_date","average_resid","rltl_change","abs_rltl_change","amp_305_lactation","av_rltl_1_res","totalTELnumber","CutoffDate","Event","TimeMeasure","average_resid_3G","rltl_change_3G","abs_rltl_change_3G"
"1",25,"14/07/2009","2214","06/08/2015",-0.149099671,0.013518967,0.106199657666667,"7301.2",NA,3,"01/01/2017",1,2214,1,3,1
"2",104,"22/11/2008","2063","17/07/2014",0.212083380333333,0.0122496334,0.1556460698,"12266.8",0.185953535,5,"01/01/2017",1,2063,3,3,2
"3",124,"16/02/2009","1977","17/07/2014",0.106228058,-0.01293980875,0.15388155925,"5846.916667",-0.066053396,4,"01/01/2017",1,1977,3,2,2
"4",141,"16/02/2010","1612","17/07/2014",-0.2401333312,0.028116191,0.1380217765,"9168.466667",-0.12641467,4,"01/01/2017",1,1612,1,3,2
"5",202,"03/07/2011","1903","17/09/2016",-0.11587919175,-0.0852585213333333,0.0871273166666667,"9107.533333",-0.095547781,3,"01/01/2017",1,1903,1,1,1
"6",209,"04/08/2011","349","18/07/2012",0.1119874075,-0.508612457,0.508612457,"NULL",-0.142318821,1,"01/01/2017",1,349,3,1,3
"7",242,"31/03/2010","803","11/06/2012",0.111486674333333,0.0353307325,0.3188969585,"NULL",-0.101111298,2,"01/01/2017",1,803,3,3,3
"8",270,"05/04/2010","833","16/07/2012",-0.0200024796666667,0.0201759645,0.0340643075,"4861.1",-0.042712018,2,"01/01/2017",1,833,2,3,1
"9",289,"28/05/2009","742","09/06/2011",0.2003181635,-0.640397154,0.640397154,"12.2",-0.119880414,1,"01/01/2017",1,742,3,1,3
"10",309,"12/02/2009","2457","05/11/2015",0.0020086205,-0.0429690618,0.1006725826,"9631.6125",-0.064621613,5,"01/01/2017",1,2457,2,2,1
"11",318,"12/10/2010","NULL","NULL",-0.11892573775,-0.0508901383333333,0.213554767666667,"5916.425",-0.316731509,3,"01/01/2017",0,2273,1,2,3
"12",354,"22/07/2010","NULL","NULL",-0.0206754618,-0.011410082,0.1637290475,"6130.875",0.179732491,4,"01/01/2017",0,2355,2,2,2
"13",370,"27/06/2009","NULL","NULL",0.0589924364,0.06816729575,0.12172703925,"5553.316667",-0.056640393,4,"01/01/2017",0,2745,3,3,2
"14",372,"30/04/2011","NULL","NULL",-0.0862038055,-0.0827375623333333,0.0827375623333333,"6218.475",-0.024475262,3,"01/01/2017",0,2073,1,1,1
"15",382,"12/07/2010","NULL","NULL",0.0719732352,0.04707794425,0.18927104775,"5422.925",0.051139462,4,"01/01/2017",0,2365,3,3,3
"16",385,"01/05/2010","1461","01/05/2014",-0.15628277775,-0.0455577733333333,0.138021794,"6578.65",-0.217239913,3,"01/01/2017",1,1461,1,2,2
"17",428,"29/11/2009","NULL","NULL",0.1083873038,0.0036295775,0.0969850475,"5784.925",0.076861663,4,"01/01/2017",0,2590,3,3,1
"18",525,"01/09/2009","759","30/09/2011",0.235547888333333,-0.0818115735,0.3215380765,"NULL",0.021189171,2,"01/01/2017",1,759,3,1,3
"19",526,"07/04/2010","2275","29/06/2016",0.0089085604,-0.04971523775,0.13451710975,"7773.875",0.017490272,4,"01/01/2017",1,2275,2,2,2
"20",533,"25/10/2008","NULL","NULL",0.251586558,0.00251343066666666,0.110799838666667,"6348.55",0.289889507,6,"01/01/2017",0,2990,3,3,1
"21",562,"01/02/2012","897","17/07/2014",-0.0101514883333333,0.033295716,0.033295716,"2065",-0.014554827,2,"01/01/2017",1,897,2,3,1
"22",582,"06/04/2011","NULL","NULL",-0.11299072925,-0.0118368343333333,0.123078621666667,"6687.125",-0.165855984,3,"01/01/2017",0,2097,1,2,2
"23",625,"17/03/2011","1561","25/06/2015",0.21038587625,-0.00261232933333332,0.189141587333333,"7357.5",0.112175197,3,"01/01/2017",1,1561,3,3,3
"24",679,"25/04/2010","1356","10/01/2014",-0.1034998026,-0.02852689425,0.04022956025,"1819.6",-0.05117202,4,"01/01/2017",1,1356,1,2,1
"25",680,"11/01/2013","544","09/07/2014",0.0246532695,-0.197114495,0.197114495,"NULL",-0.073903978,1,"01/01/2017",1,544,2,1,3
"26",681,"07/11/2010","1160","10/01/2014",-0.0739600255,-0.0654907093333333,0.115124381333333,"4925.5",-0.081977619,3,"01/01/2017",1,1160,1,1,2
