"","recoded_id","RLTL0","S_date0","herd_life","cull_date","dob","tel_sample_no","sample_year0","RLTL1","S_date1","sample_year","sample_interval","sInt","CutoffDate","Event","TimeMeasure","ResDiff","ResDiff_3G"
"1",104,0.124782352,"28/11/2008","2063","17/07/2014","22/11/2008",1,2008,0.185953535,"16/03/2010",2010,473,473,"01/01/2017",1,2063,0.061171183,3
"2",124,0.167802284,"20/02/2009","1977","17/07/2014","16/02/2009",1,2009,-0.066053396,"16/03/2010",2010,389,389,"01/01/2017",1,1977,-0.23385568,1
"3",141,-0.285398732,"26/02/2010","1612","17/07/2014","16/02/2010",1,2010,-0.12641467,"14/04/2011",2011,412,412,"01/01/2017",1,1612,0.158984062,3
"4",202,-0.009724416,"08/07/2011","1903","17/09/2016","03/07/2011",1,2011,-0.095547781,"23/03/2012",2012,259,259,"01/01/2017",1,1903,-0.085823365,2
"5",209,0.366293636,"16/08/2011","349","18/07/2012","04/08/2011",1,2011,-0.142318821,"23/03/2012",2012,220,220,"01/01/2017",1,349,-0.508612457,1
"6",242,0.182454928,"05/04/2010","803","11/06/2012","31/03/2010",1,2010,-0.101111298,"14/04/2011",2011,374,374,"01/01/2017",1,803,-0.283566226,1
"7",270,-0.028823675,"08/04/2010","833","16/07/2012","05/04/2010",1,2010,-0.042712018,"14/04/2011",2011,371,371,"01/01/2017",1,833,-0.013888343,3
"8",289,0.520516741,"01/06/2009","742","09/06/2011","28/05/2009",1,2009,-0.119880414,"16/03/2010",2010,288,288,"01/01/2017",1,742,-0.640397155,1
"9",309,0.195118958,"20/02/2009","2457","05/11/2015","12/02/2009",1,2009,-0.064621613,"16/03/2010",2010,389,389,"01/01/2017",1,2457,-0.259740571,1
"10",318,0.033216769,"15/10/2010","NULL","NULL","12/10/2010",1,2010,-0.316731509,"23/03/2012",2012,525,525,"01/01/2017",0,2273,-0.349948278,1
"11",354,0.018869503,"28/07/2010","NULL","NULL","22/07/2010",1,2010,0.179732491,"14/04/2011",2011,260,260,"01/01/2017",0,2355,0.160862988,3
"12",370,0.040106612,"29/06/2009","NULL","NULL","27/06/2009",1,2009,-0.056640393,"16/03/2010",2010,260,260,"01/01/2017",0,2745,-0.096747005,2
"13",372,0.022016837,"05/05/2011","NULL","NULL","30/04/2011",1,2011,-0.024475262,"23/03/2012",2012,323,323,"01/01/2017",0,2073,-0.046492099,2
"14",382,0.009652639,"16/07/2010","NULL","NULL","12/07/2010",1,2010,0.051139462,"14/04/2011",2011,272,272,"01/01/2017",0,2365,0.041486823,3
"15",385,-0.096336998,"06/05/2010","1461","01/05/2014","01/05/2010",1,2010,-0.217239913,"14/04/2011",2011,343,343,"01/01/2017",1,1461,-0.120902915,2
"16",428,0.080789443,"03/12/2009","NULL","NULL","29/11/2009",1,2009,0.076861663,"28/03/2011",2011,480,480,"01/01/2017",0,2590,-0.00392778000000001,3
"17",525,0.424538821,"10/09/2009","759","30/09/2011","01/09/2009",1,2009,0.021189171,"16/03/2010",2010,187,187,"01/01/2017",1,759,-0.40334965,1
"18",526,0.119113696,"13/04/2010","2275","29/06/2016","07/04/2010",1,2010,0.017490272,"14/04/2011",2011,366,366,"01/01/2017",1,2275,-0.101623424,2
"19",533,0.101495555,"28/10/2008","NULL","NULL","25/10/2008",1,2008,0.289889507,"16/03/2010",2010,504,504,"01/01/2017",0,2990,0.188393952,3
"20",562,-0.041245535,"03/02/2012","897","17/07/2014","01/02/2012",1,2012,-0.014554827,"07/03/2013",2013,398,398,"01/01/2017",1,897,0.026690708,3
"21",582,-0.016074415,"12/04/2011","NULL","NULL","06/04/2011",1,2011,-0.165855984,"23/03/2012",2012,346,346,"01/01/2017",0,2097,-0.149781569,2
"22",625,0.172618106,"22/03/2011","1561","25/06/2015","17/03/2011",1,2011,0.112175197,"23/03/2012",2012,367,367,"01/01/2017",1,1561,-0.060442909,2
"23",679,-0.021398363,"29/04/2010","1356","10/01/2014","25/04/2010",1,2010,-0.05117202,"14/04/2011",2011,350,350,"01/01/2017",1,1356,-0.029773657,3
"24",680,0.123210517,"21/01/2013","544","09/07/2014","11/01/2013",1,2013,-0.073903978,"03/04/2014",2014,437,437,"01/01/2017",1,544,-0.197114495,1
"25",681,-0.004931622,"12/11/2010","1160","10/01/2014","07/11/2010",1,2010,-0.081977619,"23/03/2012",2012,497,497,"01/01/2017",1,1160,-0.077045997,2
"26",760,0.369284509,"27/05/2010","1110","06/06/2013","23/05/2010",1,2010,0.101043431,"14/04/2011",2011,322,322,"01/01/2017",1,1110,-0.268241078,1
"27",785,0.028026206,"01/12/2011","1082","14/11/2014","28/11/2011",1,2011,-0.029553061,"07/03/2013",2013,462,462,"01/01/2017",1,1082,-0.057579267,2
"28",813,-0.112895809,"20/04/2011","648","24/01/2013","17/04/2011",1,2011,-0.109918137,"23/03/2012",2012,338,338,"01/01/2017",1,648,0.002977672,3
"29",906,-0.107194774,"11/11/2008","2275","30/01/2015","07/11/2008",1,2008,-0.152831597,"16/03/2010",2010,490,490,"01/01/2017",1,2275,-0.045636823,2
"30",954,0.132059586,"10/07/2012","499","15/11/2013","04/07/2012",1,2012,-0.11062321,"07/03/2013",2013,240,240,"01/01/2017",1,499,-0.242682796,1
"31",954,0.132059586,"10/07/2012","499","15/11/2013","04/07/2012",1,2012,-0.149404811,"14/10/2013",2013,461,461,"01/01/2017",1,499,-0.281464397,1
"32",961,0.190292719,"07/09/2010","NULL","NULL","31/08/2010",1,2010,-0.115133948,"14/04/2011",2011,219,219,"01/01/2017",0,2315,-0.305426667,1
"33",966,-0.048424439,"12/01/2009","1147","23/02/2012","02/01/2009",1,2009,0.431761609,"16/03/2010",2010,428,428,"01/01/2017",1,1147,0.480186048,3
"34",1015,0.265924581,"21/08/2012","961","08/04/2015","20/08/2012",1,2012,0.004472958,"07/03/2013",2013,198,198,"01/01/2017",1,961,-0.261451623,1
"35",1024,0.464574191,"18/01/2010","1756","03/11/2014","12/01/2010",1,2010,-0.027076808,"14/04/2011",2011,451,451,"01/01/2017",1,1756,-0.491650999,1
"36",1052,0.040521569,"08/12/2009","2171","13/11/2015","03/12/2009",1,2009,0.065369454,"28/03/2011",2011,475,475,"01/01/2017",1,2171,0.024847885,3
"37",1099,0.021956683,"22/02/2011","NULL","NULL","16/02/2011",1,2011,0.02187134,"23/03/2012",2012,395,395,"01/01/2017",0,2146,-8.53430000000016e-05,3
"38",1178,0.28492147,"20/02/2009","NULL","NULL","12/02/2009",1,2009,0.285042838,"16/03/2010",2010,389,389,"01/01/2017",0,2880,0.000121368000000011,3
"39",1284,-0.059752575,"27/04/2011","1138","01/06/2014","20/04/2011",1,2011,0.026469978,"23/03/2012",2012,331,331,"01/01/2017",1,1138,0.086222553,3
"40",1286,0.115893037,"12/11/2010","1378","14/08/2014","05/11/2010",1,2010,0.062176128,"23/03/2012",2012,497,497,"01/01/2017",1,1378,-0.053716909,2
"41",1362,0.303282124,"21/04/2009","2185","08/04/2015","14/04/2009",1,2009,-0.087082958,"16/03/2010",2010,329,329,"01/01/2017",1,2185,-0.390365082,1
"42",1405,0.14308301,"16/08/2011","1182","03/11/2014","09/08/2011",1,2011,-0.013094081,"23/03/2012",2012,220,220,"01/01/2017",1,1182,-0.156177091,2
"43",1419,0.252573846,"04/06/2010","NULL","NULL","28/05/2010",1,2010,0.132784566,"14/04/2011",2011,314,314,"01/01/2017",0,2410,-0.11978928,2
"44",1559,-0.066637382,"08/12/2009","1904","19/02/2015","03/12/2009",1,2009,-0.13562095,"28/03/2011",2011,475,475,"01/01/2017",1,1904,-0.068983568,2
"45",1663,-0.108224058,"13/01/2010","NULL","NULL","09/01/2010",1,2010,0.031864633,"28/03/2011",2011,439,439,"01/01/2017",0,2549,0.140088691,3
"46",1771,-0.132881094,"07/09/2010","NULL","NULL","01/09/2010",1,2010,-0.247343186,"14/04/2011",2011,219,219,"01/01/2017",0,2314,-0.114462092,2
"47",1825,0.584360333,"12/01/2009","1762","30/10/2013","02/01/2009",1,2009,-0.142939121,"16/03/2010",2010,428,428,"01/01/2017",1,1762,-0.727299454,1
"48",1885,-0.156338385,"02/08/2010","NULL","NULL","27/07/2010",1,2010,-0.09955837,"14/04/2011",2011,255,255,"01/01/2017",0,2350,0.056780015,3
"49",1939,0.189533363,"09/02/2009","NULL","NULL","03/02/2009",1,2009,-0.01841067,"16/03/2010",2010,400,400,"01/01/2017",0,2889,-0.207944033,1
