"","recoded_id","X.1","X","dob","birth_year","genetic_group","feed_group","amp_305_lactation","cull_date","cull_reason","herd_life","sample_date","rltl","tel_sample_no","residual_rltl_t","residual_rltl_tminus1","diff_rltl_res","sample_interval","change_at_t_1","abs_diff_rltl_res","age_d","age_m","age_y","live_wgt","cond_score","health_event_2week","health_event_fertil_all","health_event_mastitis_all","health_event_lame_all","sample_year","AgeGroup","av_rltl_1_res","SamplesPerAnimal","Animal_No","average_resid_M2","rltl_change_M2","abs_rltl_change_M2"
"1",25,320,263,"14/07/2009",2009,"C","2","7301.2","06/08/2015","REPEAT BREEDER","2214","20/02/2012",0.843234265,2,-0.242196477,"-0.103175441","-0.139021036","949","NULL","0.139021036",951,31,3,"NULL","2.5",0,"7","0","0",2012,"older",NA,4,1,-0.164407747666667,0.013518967,0.106199657666667
"2",25,321,264,"14/07/2009",2009,"C","2","7301.2","06/08/2015","REPEAT BREEDER","2214","21/02/2013",0.878074098,3,-0.188408226,"-0.242196477","0.053788251","367","-0.139021036","0.053788251",1318,43,4,"NULL","2",0,"7","0","0",2013,"older",NA,4,1,-0.164407747666667,0.013518967,0.106199657666667
"3",25,322,265,"14/07/2009",2009,"C","2","7301.2","06/08/2015","REPEAT BREEDER","2214","16/05/2014",1.037209702,4,-0.06261854,"-0.188408226","0.125789686","449","0.053788251","0.125789686",1767,58,5,"NULL","2.5",1,"7","0","0",2014,"older",NA,4,1,-0.164407747666667,0.013518967,0.106199657666667
"4",104,59,409,"22/11/2008",2008,"S","1","12266.8","17/07/2014","REPEAT BREEDER","2063","16/03/2010",1.293955793,2,0.185953535,"0.124782352","0.061171183","473","NULL","0.061171183",479,16,1,"NULL","2",0,"9","0","5",2010,"older",0.185953535,6,2,0.229543586,0.0122496334,0.1556460698
"5",104,60,410,"22/11/2008",2008,"S","1","12266.8","17/07/2014","REPEAT BREEDER","2063","02/03/2011",1.181408792,3,0.132153693,"0.185953535","-0.053799842","351","0.061171183","0.053799842",830,27,2,"NULL","2",1,"9","0","5",2011,"older",0.185953535,6,2,0.229543586,0.0122496334,0.1556460698
"6",104,61,411,"22/11/2008",2008,"S","1","12266.8","17/07/2014","REPEAT BREEDER","2063","23/02/2012",1.380443486,4,0.152858415,"0.132153693","0.020704722","358","-0.053799842","0.020704722",1188,39,3,"NULL","2.25",0,"9","0","5",2012,"older",0.185953535,6,2,0.229543586,0.0122496334,0.1556460698
"7",104,62,412,"22/11/2008",2008,"S","1","12266.8","17/07/2014","REPEAT BREEDER","2063","27/02/2013",1.57733474,5,0.490721768,"0.152858415","0.337863353","370","0.020704722","0.337863353",1558,51,4,"NULL","2.5",0,"9","0","5",2013,"older",0.185953535,6,2,0.229543586,0.0122496334,0.1556460698
"8",104,63,413,"22/11/2008",2008,"S","1","12266.8","17/07/2014","REPEAT BREEDER","2063","12/05/2014",1.358754196,6,0.186030519,"0.490721768","-0.304691249","439","0.337863353","0.304691249",1997,65,5,"NULL","4",0,"9","0","5",2014,"older",0.185953535,6,2,0.229543586,0.0122496334,0.1556460698
"9",124,149,37,"16/02/2009",2009,"S","2","5846.916667","17/07/2014","BRUCELLOSIS/ABORTED","1977","16/03/2010",1.161531675,2,-0.066053396,"0.167802284","-0.23385568","389","NULL","0.23385568",393,13,1,"NULL","2.75",0,"3","0","0",2010,"older",-0.066053396,5,3,0.0908345015,-0.01293980875,0.15388155925
"10",124,150,38,"16/02/2009",2009,"S","2","5846.916667","17/07/2014","BRUCELLOSIS/ABORTED","1977","05/07/2011",1.056163937,3,0.097518248,"-0.066053396","0.163571644","476","-0.23385568","0.163571644",869,28,2,"487","NULL",0,"3","0","0",2011,"older",-0.066053396,5,3,0.0908345015,-0.01293980875,0.15388155925
