yyyy,mm,tmax_degC,tmin_degC,af_days,rain_mm,sun_hours,Date,quartal
1911,1,---,---,---,107.7,---,Jan-11,1
1911,2,---,---,---,233.6,---,Feb-11,1
1911,3,---,---,---,73.5,---,Mar-11,1
1911,4,---,---,---,172.4,---,Apr-11,2
1911,5,---,---,---,87.9,---,May-11,2
1911,6,---,---,---,87.3,---,Jun-11,2
1911,7,---,---,---,58.7,---,Jul-11,3
1911,8,---,---,---,82,---,Aug-11,3
1911,9,---,---,---,72.1,---,Sep-11,3
1911,10,---,---,---,136.3,---,Oct-11,4
1911,11,---,---,---,208.8,---,Nov-11,4
1911,12,---,---,---,228.9,---,Dec-11,4
1912,1,---,---,---,96.6,---,Jan-12,1
1912,2,---,---,---,108.9,---,Feb-12,1
1912,3,---,---,---,188.1,---,Mar-12,1
1912,4,---,---,---,26,---,Apr-12,2
1912,5,---,---,---,46.8,---,May-12,2
1912,6,---,---,---,157.9,---,Jun-12,2
1912,7,---,---,---,91.9,---,Jul-12,3
1912,8,---,---,---,141.1,---,Aug-12,3
1912,9,---,---,---,62.3,---,Sep-12,3
1912,10,---,---,---,146.3,---,Oct-12,4
1912,11,---,---,---,139.2,---,Nov-12,4
1912,12,---,---,---,293.8,---,Dec-12,4
1913,1,---,---,---,113.9,---,Jan-13,1
1913,2,---,---,---,121,---,Feb-13,1
1913,3,---,---,---,193.2,---,Mar-13,1
1913,4,---,---,---,165.6,---,Apr-13,2
1913,5,---,---,---,105.2,---,May-13,2
1913,6,---,---,---,75.4,---,Jun-13,2
1913,7,---,---,---,25.3,---,Jul-13,3
1913,8,---,---,---,59.9,---,Aug-13,3
1913,9,---,---,---,63.6,---,Sep-13,3
1913,10,---,---,---,113.5,---,Oct-13,4
1913,11,---,---,---,171.1,---,Nov-13,4
1913,12,---,---,---,141.1,---,Dec-13,4
1914,1,4.4,0.1,---,129.4,---,Jan-14,1
1914,2,6.8,1.3,---,216,---,Feb-14,1
1914,3,6.4,-0.1,---,157.4,---,Mar-14,1
1914,4,12.4,1,---,78.3,---,Apr-14,2
1914,5,12.2,3.6,---,72.9,---,May-14,2
1914,6,16.7,6.6,---,38.3,---,Jun-14,2
1914,7,17.7,8.8,---,81.7,---,Jul-14,3
1914,8,17.4,8.4,---,90.1,---,Aug-14,3
1914,9,14.9,5.9,---,88.3,---,Sep-14,3
1914,10,11.3,4.2,---,45.1,---,Oct-14,4
1914,11,7.6,1.9,---,163.9,---,Nov-14,4
1914,12,4.7,-0.1,---,197.8,---,Dec-14,4
1915,1,4.1,-0.8,---,87.8,---,Jan-15,1
1915,2,4.4,-1,---,218.4,---,Feb-15,1
1915,3,6.7,-1.1,---,31.5,---,Mar-15,1
1915,4,9.9,0.8,---,89.3,---,Apr-15,2
1915,5,13.3,1.8,---,34.3,---,May-15,2
1915,6,16.7,5.8,---,31.5,---,Jun-15,2
